rank,fwd,w_20d,w_30d,w_50d,w_100d,w_200d,w_365d,long_sharpe,long_avg,spread_sharpe,spread_avg
1,fwd_5d,0,0,0,0,100,0,0.08440228551626205,0.003765927627682686,0.007264592684805393,0.0004664294538088143
2,fwd_5d,0,0,0,10,90,0,0.0846763327717781,0.0036493302322924137,0.0009086154750548303,5.89346163906157e-05
3,fwd_5d,0,0,0,20,80,0,0.08384951204061508,0.003576131071895361,-0.0012754364870488644,-8.275373693322763e-05
4,fwd_5d,0,0,0,0,90,10,0.084864042699337,0.0037833498790860176,0.011586125008761883,0.0007518773199990392
5,fwd_5d,0,0,0,0,80,20,0.08486643433570862,0.0037658950313925743,0.014172662049531937,0.0009230140713043511
6,fwd_5d,0,0,0,10,80,10,0.08891913294792175,0.00381439458578825,0.008434890769422054,0.0005498692044056952
7,fwd_5d,0,0,0,30,70,0,0.08200398832559586,0.0034668920561671257,-0.0022682591807097197,-0.00014707352966070175
8,fwd_5d,0,0,0,20,70,10,0.0883091390132904,0.0037471710238605738,0.0052321963012218475,0.00034110952401533723
9,fwd_5d,0,0,0,0,70,30,0.08320947736501694,0.0036883698776364326,0.014044241979718208,0.0009162505739368498
10,fwd_5d,0,0,0,30,60,10,0.08759517967700958,0.003688535653054714,0.004614290781319141,0.00030064547900110483
1,fwd_20d,0,0,0,0,100,0,0.1465054303407669,0.01374419592320919,0.030868632718920708,0.004009815864264965
2,fwd_20d,0,0,0,10,90,0,0.14559566974639893,0.013606836088001728,0.024839522317051888,0.00326657947152853
3,fwd_20d,0,0,0,20,80,0,0.1453719139099121,0.013504775241017342,0.025009728968143463,0.0032860131468623877
4,fwd_20d,0,0,0,0,90,10,0.14776138961315155,0.013867477886378765,0.03776687756180763,0.005012792535126209
5,fwd_20d,0,0,0,0,80,20,0.14862112700939178,0.01403624564409256,0.04185163602232933,0.005604204256087542
6,fwd_20d,0,0,0,10,80,10,0.15147893130779266,0.01407637819647789,0.0370042510330677,0.00489011500030756
7,fwd_20d,0,0,0,30,70,0,0.14146985113620758,0.013125000521540642,0.023755142465233803,0.0031152411829680204
8,fwd_20d,0,0,0,20,70,10,0.15058095753192902,0.01395206619054079,0.034295789897441864,0.004548163153231144
9,fwd_20d,0,0,0,0,70,30,0.14492586255073547,0.013732919469475746,0.041476331651210785,0.00558449886739254
10,fwd_20d,0,0,0,30,60,10,0.14909298717975616,0.013754185289144516,0.03339802473783493,0.0044050333090126514
1,fwd_60d,0,0,0,0,100,0,0.2054792046546936,0.04040529206395149,0.09373006224632263,0.023764418438076973
2,fwd_60d,0,0,0,10,90,0,0.1984180361032486,0.03890643268823624,0.08860442042350769,0.022553825750947
3,fwd_60d,0,0,0,20,80,0,0.19613322615623474,0.038423214107751846,0.08750589936971664,0.0223433468490839
4,fwd_60d,0,0,0,0,90,10,0.19608363509178162,0.03663277253508568,0.08528712391853333,0.021772077307105064
5,fwd_60d,0,0,0,0,80,20,0.19349659979343414,0.03600233420729637,0.08624348789453506,0.022074326872825623
6,fwd_60d,0,0,0,10,80,10,0.19318804144859314,0.03572002053260803,0.0838736817240715,0.02146720699965954
7,fwd_60d,0,0,0,30,70,0,0.1921810656785965,0.03758278116583824,0.08452151715755463,0.02156532183289528
8,fwd_60d,0,0,0,20,70,10,0.19214016199111938,0.03572862222790718,0.0838625580072403,0.021500108763575554
9,fwd_60d,0,0,0,0,70,30,0.19051167368888855,0.034998174756765366,0.0846422091126442,0.02158837579190731
10,fwd_60d,0,0,0,30,60,10,0.19006799161434174,0.035331256687641144,0.0822170227766037,0.02102462388575077
1,fwd_120d,0,0,0,0,100,0,0.24060331284999847,0.06535936146974564,0.05220771208405495,0.0218289066106081
2,fwd_120d,0,0,0,10,90,0,0.2454148232936859,0.06762062758207321,0.06550835072994232,0.027300214394927025
3,fwd_120d,0,0,0,20,80,0,0.24470362067222595,0.06778376549482346,0.07198552787303925,0.029670394957065582
4,fwd_120d,0,0,0,0,90,10,0.23373724520206451,0.060968853533267975,0.04453939571976662,0.018984774127602577
5,fwd_120d,0,0,0,0,80,20,0.23169808089733124,0.06026739254593849,0.041972480714321136,0.018106574192643166
6,fwd_120d,0,0,0,10,80,10,0.23945657908916473,0.06197609379887581,0.05685894563794136,0.024034647271037102
7,fwd_120d,0,0,0,30,70,0,0.24159684777259827,0.06690460443496704,0.07209717482328415,0.029548611491918564
8,fwd_120d,0,0,0,20,70,10,0.23892433941364288,0.06177589297294617,0.06218784675002098,0.02593955211341381
9,fwd_120d,0,0,0,0,70,30,0.23033086955547333,0.05978304520249367,0.042171090841293335,0.018263233825564384
10,fwd_120d,0,0,0,30,60,10,0.2378455400466919,0.06157420948147774,0.06624715030193329,0.027243278920650482
1,fwd_250d,0,0,0,0,100,0,0.2988881766796112,0.12178578227758408,0.02056964859366417,0.014336880296468735
2,fwd_250d,0,0,0,10,90,0,0.3015572428703308,0.12228385359048843,0.03346932679414749,0.023133734241127968
3,fwd_250d,0,0,0,20,80,0,0.3010357916355133,0.12233702838420868,0.040161341428756714,0.02704693004488945
4,fwd_250d,0,0,0,0,90,10,0.2881998121738434,0.1128283217549324,0.004212839063256979,0.0030418792739510536
5,fwd_250d,0,0,0,0,80,20,0.28474485874176025,0.11140218377113342,0.0020445717964321375,0.0014907763106748462
6,fwd_250d,0,0,0,10,80,10,0.29098188877105713,0.11229588836431503,0.01698605716228485,0.012102482840418816
7,fwd_250d,0,0,0,30,70,0,0.29882103204727173,0.12118344008922577,0.0402669832110405,0.02675461396574974
8,fwd_250d,0,0,0,20,70,10,0.2904306650161743,0.11198427528142929,0.022336367517709732,0.015558098442852497
9,fwd_250d,0,0,0,0,70,30,0.28373488783836365,0.111247718334198,0.0037930624093860388,0.0027630289550870657
10,fwd_250d,0,0,0,30,60,10,0.28922605514526367,0.11144483834505081,0.02628323808312416,0.017745491117239
