timeframe,weight_avg,weight_median,weight_std
5d,0.07711947459884322,0.06884889470148302,0.05449521945123813
10d,0.09134126034956139,0.052792252614742095,0.11416047198711443
15d,0.10905142209102835,0.05937547819018207,0.10181072802488306
20d,0.07933775526535362,0.07639062327012118,0.05176851536805478
30d,0.11777807225458019,0.11305773673023789,0.11368928695651297
50d,0.07868020005708647,0.05638764050981133,0.05795259736688175
100d,0.11078465783784633,0.10952595084247849,0.06417320521159418
200d,0.1808007718243466,0.11196825526028685,0.15082985061252904
365d,0.15510638572135388,0.11100372711969812,0.15481414116920816
